Domain,FoundInCertFor,CertSubject
"www.tmp.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"www.transcript.wsu.edu","admission.em.wsu.edu","CN=cms.em.wsu.edu, O=Washington State University, S=Washington, C=US"
"www.transcripts.wsu.edu","admission.em.wsu.edu","CN=cms.em.wsu.edu, O=Washington State University, S=Washington, C=US"
"www.transfer-days.wsu.edu","admission.em.wsu.edu","CN=cms.em.wsu.edu, O=Washington State University, S=Washington, C=US"
"www.tutoring.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"www.tv.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"www.undocuqueer.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"www.vibes.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"www.women.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"www.wsa.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"www.wsu.edu","wsu.edu","CN=wsu.edu"
