FilePath,RelativePath,Extension,SizeBytes,LineCount,CharCount,CreatedUtc,ModifiedUtc,ReadError,Kind,Namespaces,DeclaredTypes,Routes,RequiresAuth,AzureDevOpsUrl
"Components/Account/Pages/ExternalLogin.razor","Components/Account/Pages/ExternalLogin.razor",".razor",8027,217,8024,2026-02-12T22:02:26.3779174Z,2026-02-12T22:02:26.3789168Z,"","RazorPage","","","/Account/ExternalLogin",false,""
"Components/Account/Pages/Manage/EnableAuthenticator.razor","Components/Account/Pages/Manage/EnableAuthenticator.razor",".razor",7260,184,7257,2026-02-12T22:02:26.3849150Z,2026-02-12T22:02:26.3849150Z,"","RazorPage","","","/Account/Manage/EnableAuthenticator",false,""
"Components/Account/Pages/Manage/Passkeys.razor","Components/Account/Pages/Manage/Passkeys.razor",".razor",6325,182,6322,2026-02-12T22:02:26.3869145Z,2026-02-12T22:02:26.3869145Z,"","RazorPage","","","/Account/Manage/Passkeys",false,""
"Components/Account/Pages/Login.razor","Components/Account/Pages/Login.razor",".razor",6276,164,6273,2026-02-12T22:02:26.3809165Z,2026-02-12T22:02:26.3809165Z,"","RazorPage","","","/Account/Login",false,""
"Components/Account/Pages/Manage/ExternalLogins.razor","Components/Account/Pages/Manage/ExternalLogins.razor",".razor",5848,162,5845,2026-02-12T22:02:26.3859177Z,2026-02-12T22:02:26.3859177Z,"","RazorPage","","","/Account/Manage/ExternalLogins",false,""
"Components/Account/Pages/Register.razor","Components/Account/Pages/Register.razor",".razor",6097,152,6094,2026-02-12T22:02:26.3899173Z,2026-02-12T22:02:26.3899173Z,"","RazorPage","","","/Account/Register",false,""
"Components/Account/Pages/Manage/Email.razor","Components/Account/Pages/Manage/Email.razor",".razor",5559,143,5554,2026-02-12T22:02:26.3839153Z,2026-02-12T22:02:26.3849150Z,"","RazorPage","","","/Account/Manage/Email",false,""
"Components/Account/Pages/Manage/ChangePassword.razor","Components/Account/Pages/Manage/ChangePassword.razor",".razor",4567,109,4564,2026-02-12T22:02:26.3829154Z,2026-02-12T22:02:26.3829154Z,"","RazorPage","","","/Account/Manage/ChangePassword",false,""
"Components/Account/Pages/ResetPassword.razor","Components/Account/Pages/ResetPassword.razor",".razor",4276,108,4273,2026-02-12T22:02:26.3909173Z,2026-02-12T22:02:26.3919167Z,"","RazorPage","","","/Account/ResetPassword",false,""
"Components/Account/Pages/Manage/TwoFactorAuthentication.razor","Components/Account/Pages/Manage/TwoFactorAuthentication.razor",".razor",4025,106,4022,2026-02-12T22:02:26.3889137Z,2026-02-12T22:02:26.3889137Z,"","RazorPage","","","/Account/Manage/TwoFactorAuthentication",false,""
"Components/Account/Pages/LoginWith2fa.razor","Components/Account/Pages/LoginWith2fa.razor",".razor",4084,103,4081,2026-02-12T22:02:26.3819159Z,2026-02-12T22:02:26.3819159Z,"","RazorPage","","","/Account/LoginWith2fa",false,""
