FilePath,Route,RequiresAuth,Project
"Shared/AppComponents/About.App.razor","",false,"Shared"
"Shared/AppComponents/AppSettings.App.razor","",false,"Shared"
"Shared/AppComponents/EditAppointment.App.razor","",false,"Shared"
"Shared/AppComponents/EditDepartment.App.razor","",false,"Shared"
"Shared/AppComponents/EditDepartmentGroup.App.razor","",false,"Shared"
"Shared/AppComponents/EditTag.App.razor","",false,"Shared"
"Shared/AppComponents/EditTenant.App.razor","",false,"Shared"
"Shared/AppComponents/EditUser.App.razor","",false,"Shared"
"Shared/AppComponents/FreeGLBA.App.EditAccessEvent.razor","",false,"Shared"
"Shared/AppComponents/FreeGLBA.App.EditComplianceReport.razor","",false,"Shared"
"Shared/AppComponents/FreeGLBA.App.EditDataSubject.razor","",false,"Shared"
"Shared/AppComponents/FreeGLBA.App.EditSourceSystem.razor","",false,"Shared"
"Shared/AppComponents/Index.App.razor","",false,"Shared"
"Shared/AppComponents/Settings.App.razor","",false,"Shared"
"Pages/Settings/Departments/DepartmentGroups.razor","/Settings/DepartmentGroups",false,"Pages"
"Pages/Settings/Departments/DepartmentGroups.razor","/{TenantCode}/Settings/DepartmentGroups",false,"Pages"
"Pages/Settings/Departments/Departments.razor","/Settings/Departments",false,"Pages"
"Pages/Settings/Departments/Departments.razor","/{TenantCode}/Settings/Departments",false,"Pages"
"Pages/Settings/Departments/EditDepartment.razor","/Settings/EditDepartment/{departmentid}",false,"Pages"
"Pages/Settings/Departments/EditDepartment.razor","/{TenantCode}/Settings/EditDepartment/{departmentid}",false,"Pages"
"Pages/Settings/Departments/EditDepartment.razor","/Settings/AddDepartment",false,"Pages"
"Pages/Settings/Departments/EditDepartment.razor","/{TenantCode}/Settings/AddDepartment",false,"Pages"
"Pages/Settings/Departments/EditDepartmentGroup.razor","/Settings/EditDepartmentGroup/{departmentgroupid}",false,"Pages"
"Pages/Settings/Departments/EditDepartmentGroup.razor","/{TenantCode}/Settings/EditDepartmentGroup/{departmentgroupid}",false,"Pages"
"Pages/Settings/Departments/EditDepartmentGroup.razor","/Settings/AddDepartmentGroup",false,"Pages"
"Pages/Settings/Departments/EditDepartmentGroup.razor","/{TenantCode}/Settings/AddDepartmentGroup",false,"Pages"
"Pages/Settings/Files/Files.razor","/Settings/Files",false,"Pages"
"Pages/Settings/Files/Files.razor","/{TenantCode}/Settings/Files",false,"Pages"
"Pages/Settings/Files/ManageFile.razor","",false,"Pages"
"Pages/Settings/Misc/AppSettings.razor","/Settings/AppSettings",false,"Pages"
"Pages/Settings/Misc/AppSettings.razor","/{TenantCode}/Settings/AppSettings",false,"Pages"
"Pages/Settings/Misc/DeletedRecords.razor","/Settings/DeletedRecords",false,"Pages"
"Pages/Settings/Misc/DeletedRecords.razor","/{TenantCode}/Settings/DeletedRecords",false,"Pages"
"Pages/Settings/Misc/InvalidTenantCode.razor","/InvalidTenantCode",false,"Pages"
"Pages/Settings/Misc/Languages.razor","/Settings/Language",false,"Pages"
"Pages/Settings/Misc/Languages.razor","/{TenantCode}/Settings/Language",false,"Pages"
"Pages/Settings/Misc/MissingTenantCode.razor","/MissingTenantCode",false,"Pages"
"Pages/Settings/Misc/Settings.razor","/Settings",false,"Pages"
"Pages/Settings/Misc/Settings.razor","/{TenantCode}/Settings",false,"Pages"
"Pages/Settings/Misc/Setup.razor","/Setup",false,"Pages"
"Pages/Settings/Misc/UDF.razor","/Settings/UDF",false,"Pages"
"Pages/Settings/Misc/UDF.razor","/{TenantCode}/Settings/UDF",false,"Pages"
"Pages/Settings/Tags/EditTag.razor","/Settings/EditTag/{id}",false,"Pages"
"Pages/Settings/Tags/EditTag.razor","/{TenantCode}/Settings/EditTag/{id}",false,"Pages"
"Pages/Settings/Tags/EditTag.razor","/Settings/AddTag",false,"Pages"
"Pages/Settings/Tags/EditTag.razor","/{TenantCode}/Settings/AddTag",false,"Pages"
"Pages/Settings/Tags/Tags.razor","/Settings/Tags",false,"Pages"
"Pages/Settings/Tags/Tags.razor","/{TenantCode}/Settings/Tags",false,"Pages"
"Pages/Settings/Tenants/EditTenant.razor","/Settings/EditTenant/{tenantid}",false,"Pages"
"Pages/Settings/Tenants/EditTenant.razor","/{TenantCode}/Settings/EditTenant/{tenantid}",false,"Pages"
"Pages/Settings/Tenants/EditTenant.razor","/Settings/AddTenant",false,"Pages"
"Pages/Settings/Tenants/EditTenant.razor","/{TenantCode}/Settings/AddTenant",false,"Pages"
"Pages/Settings/Tenants/Tenants.razor","/Settings/Tenants",false,"Pages"
"Pages/Settings/Tenants/Tenants.razor","/{TenantCode}/Settings/Tenants",false,"Pages"
"Pages/Settings/Users/EditUser.razor","/Settings/EditUser/{userid}",false,"Pages"
"Pages/Settings/Users/EditUser.razor","/{TenantCode}/Settings/EditUser/{userid}",false,"Pages"
"Pages/Settings/Users/EditUser.razor","/Settings/AddUser",false,"Pages"
"Pages/Settings/Users/EditUser.razor","/{TenantCode}/Settings/AddUser",false,"Pages"
"Pages/Settings/Users/EditUserGroup.razor","/Settings/EditUserGroup/{groupid}",false,"Pages"
"Pages/Settings/Users/EditUserGroup.razor","/{TenantCode}/Settings/EditUserGroup/{groupid}",false,"Pages"
"Pages/Settings/Users/EditUserGroup.razor","/Settings/AddUserGroup",false,"Pages"
"Pages/Settings/Users/EditUserGroup.razor","/{TenantCode}/Settings/AddUserGroup",false,"Pages"
"Pages/Settings/Users/UserGroups.razor","/Settings/UserGroups",false,"Pages"
"Pages/Settings/Users/UserGroups.razor","/{TenantCode}/Settings/UserGroups",false,"Pages"
"Pages/Settings/Users/Users.razor","/Settings/Users",false,"Pages"
"Pages/Settings/Users/Users.razor","/{TenantCode}/Settings/Users",false,"Pages"
