Rank,Rule,Severity,Confidence,Sites,Pages,Instances,WCAG,Message
1,"image-alt","critical","high",1,6,12,"","Images must have alternative text"
2,"link-name","serious","high",1,122,490,"","Links must have discernible text"
3,"color-contrast","serious","high",1,121,121,"2.a.a","Elements must meet minimum color contrast ratio thresholds"
4,"document-title","serious","medium",1,3,3,"","Documents must have <title> element to aid in navigation"
5,"skip-link","moderate","medium",1,124,124,"2.4.1","No skip-to-content link found near top of page"
6,"landmark-one-main","moderate","medium",1,124,124,"1.3.1","Page has no <main> landmark"
7,"page-has-heading-one","moderate","medium",1,3,3,"1.3.1","Page has headings but no <h1>"
8,"landmark-nav","minor","medium",1,2,2,"1.3.1","Page has no <nav> landmark"
